symbol,model,horizon,accuracy,balanced_accuracy,precision,recall,f1_score,specificity,roc_auc
BTC,RF,1,0.5415970890799265,0.5282095995250248,0.4975091391200728,0.3759002442968065,0.4256506829611996,0.6805189547532432,0.5450413914274642
BTC,RF,3,0.5002785077375739,0.5003400050886669,0.48250122040918725,0.46398477539342714,0.4704120223899919,0.5366952347839068,0.5043156644528447
BTC,RF,6,0.5130357837331874,0.5136102915799147,0.5100185527629534,0.4847790756135489,0.49364644862582224,0.5424415075462806,0.5154414822238153
BTC,SVM,1,0.5498948605355928,0.5173850059072295,0.530964721214937,0.1452723438219983,0.2234359747764417,0.8894976679924608,0.5476631471038268
BTC,SVM,3,0.505531523033039,0.49427075871390874,0.4659152511955605,0.14487268738718564,0.1892527969639353,0.8436688300406319,0.5011471223228344
BTC,SVM,6,0.5036079441372979,0.49837347094078677,0.49024356869184454,0.06050269546561576,0.10008845397905879,0.9362442464159577,0.49767765779920564
BTC,GRU,1,0.5448895623229254,0.5021568223355608,0.5668276972624798,0.01326412983474224,0.025896015169378003,0.9910495148363795,0.5226671444919784
BTC,GRU,3,0.5222700435910169,0.5033268713769632,0.5835707502374169,0.024010683328075575,0.0458590567440826,0.9826430594258508,0.5006871845806432
BTC,GRU,6,0.5115483076313968,0.5065827986909545,0.5379692617787856,0.07091033899777315,0.12329249730320825,0.9422552583841358,0.5134294870900379
BTC,XGBoost,1,0.5390613725854,0.5294914584281071,0.4945085699432748,0.41453915600652097,0.4486793624264109,0.644443760849693,0.5414185665407246
BTC,XGBoost,3,0.5019760573186892,0.5024022259934305,0.48249518687224496,0.48831671547633154,0.4840732381708834,0.5164877365105295,0.5082025887681683
BTC,XGBoost,6,0.5047242876154279,0.5049288293962736,0.4980798278563559,0.4645924576193134,0.4792516914849973,0.5452652011732337,0.5034053503748649
BTC,PCA+HMM,1,0.49065598779557584,0.49853905469543824,0.45542691852731565,0.6511518214129156,0.5189683159911104,0.34592628797796093,0.49188849435152565
BTC,PCA+HMM,3,0.4951806931249017,0.4986155091213607,0.47668594019195715,0.5480949534318488,0.49529490683793176,0.4491360648108727,0.5037313749430842
BTC,PCA+HMM,6,0.5074327672392295,0.5069360612256506,0.5008178490818594,0.5568145608681284,0.5132901119078733,0.45705756158317273,0.5134408840132979
ETH,RF,1,0.5102047127218752,0.5117329987626946,0.47848602154182435,0.5101144649421777,0.4902830452159704,0.5133515325832116,0.5112708762677661
ETH,RF,3,0.5138645194618512,0.5094892361775112,0.4894481080965436,0.43873877776107956,0.46189340327798406,0.5802396945939429,0.510964947883071
ETH,RF,6,0.5065796761702364,0.5041961317441842,0.4969748507485467,0.39042786724849626,0.4342171533072677,0.6179643962398721,0.5134081194188856
ETH,SVM,1,0.5223112128146453,0.5057809591774386,0.48915382894973486,0.2447272976669316,0.31352128119621236,0.7668346206879456,0.5125517984181039
ETH,SVM,3,0.5238384655122071,0.5067104215868324,0.49982727877949884,0.11580801490281993,0.1844110198559549,0.8976128282708449,0.5126452266041416
ETH,SVM,6,0.5032721170057788,0.4990458150102887,0.500640956261471,0.23605435566527389,0.3053446754305201,0.7620372743553036,0.4900259506933052
ETH,GRU,1,0.537514817383773,0.5046642624755912,0.5181155568156312,0.04343369510250126,0.07673589369690534,0.9658948298486812,0.5167884926566321
ETH,GRU,3,0.5224500634552778,0.5048012916513306,0.5163704593348157,0.09867805475631675,0.15896275934278378,0.9109245285463442,0.5093976673428319
ETH,GRU,6,0.5198671313884099,0.5144859066194538,0.5125581357004138,0.2016657691164603,0.2777496801209694,0.8273060441224475,0.5128604195588287
ETH,XGBoost,1,0.5166780052363577,0.5170026399167704,0.48326695276819615,0.5088685371608747,0.4942788669094485,0.5251367426726663,0.5247261470211019
ETH,XGBoost,3,0.5106859376052827,0.5071913789841317,0.48690287141758165,0.45571037522090957,0.47022095703988814,0.5586723827473539,0.5029716702805836
